trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
190,False,"{'a': 0.5, 'e': 0.95}",25,0,-147.72868311213884,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
191,False,"{'a': 0.5, 'e': 0.95}",20,0,-65.22334504482485,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
192,False,"{'a': 0.5, 'e': 0.95}",20,0,-35.94883127217886,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
193,False,"{'a': 0.5, 'e': 0.95}",20,0,-108.56694401014492,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
194,False,"{'a': 0.5, 'e': 0.95}",20,0,-85.01763137018452,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
195,False,"{'a': 0.5, 'e': 0.95}",20,0,-165.4984881713032,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
196,False,"{'a': 0.5, 'e': 0.95}",25,0,-150.69044600364086,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
197,False,"{'a': 0.5, 'e': 0.95}",25,0,-45.91764540910029,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
198,False,"{'a': 0.5, 'e': 0.95}",20,0,-115.08060443076037,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
199,False,"{'a': 0.5, 'e': 0.95}",25,8,-95.16026142925422,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 2}",1
200,False,"{'a': 0.5, 'e': 0.95}",20,0,-147.10871426316567,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
201,False,"{'a': 0.5, 'e': 0.95}",20,0,-41.08598739376634,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
202,False,"{'a': 0.5, 'e': 0.95}",30,0,-150.00214278596204,"{0: 22, 1: 0, 2: 4, 3: 1, 4: 3}",0
203,False,"{'a': 0.5, 'e': 0.95}",35,1,-40.32125722914061,"{0: 24, 1: 5, 2: 5, 3: 0, 4: 0}",1
204,False,"{'a': 0.5, 'e': 0.95}",20,0,-171.9257488473165,"{0: 10, 1: 4, 2: 2, 3: 1, 4: 3}",0
205,False,"{'a': 0.5, 'e': 0.95}",35,0,-224.81505784067824,"{0: 20, 1: 7, 2: 3, 3: 1, 4: 4}",0
206,False,"{'a': 0.5, 'e': 0.95}",30,0,-120.32607967975478,"{0: 19, 1: 3, 2: 5, 3: 2, 4: 1}",0
207,False,"{'a': 0.5, 'e': 0.95}",35,0,-11.858613706391694,"{0: 29, 1: 2, 2: 4, 3: 0, 4: 0}",0
208,False,"{'a': 0.5, 'e': 0.95}",20,0,-70.20126499071475,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
209,False,"{'a': 0.5, 'e': 0.95}",20,0,-117.80391943587723,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
210,False,"{'a': 0.5, 'e': 0.95}",25,2,-145.81491398740488,"{0: 11, 1: 5, 2: 4, 3: 1, 4: 2}",1
211,False,"{'a': 0.5, 'e': 0.95}",25,0,-84.59388744532615,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
212,False,"{'a': 0.5, 'e': 0.95}",25,0,-223.14670736705787,"{0: 12, 1: 0, 2: 8, 3: 2, 4: 3}",0
213,False,"{'a': 0.5, 'e': 0.95}",30,0,-103.42534021465596,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
214,False,"{'a': 0.5, 'e': 0.95}",20,0,-166.8296456159369,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 3}",0
215,False,"{'a': 0.5, 'e': 0.95}",20,8,-13.465311593550583,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
216,False,"{'a': 0.5, 'e': 0.95}",30,0,-159.48579226753958,"{0: 16, 1: 4, 2: 8, 3: 0, 4: 2}",0
217,False,"{'a': 0.5, 'e': 0.95}",30,0,-104.88746344677432,"{0: 20, 1: 4, 2: 3, 3: 2, 4: 1}",0
218,False,"{'a': 0.5, 'e': 0.95}",20,11,-31.1368398983099,"{0: 4, 1: 2, 2: 3, 3: 0, 4: 0}",1
219,False,"{'a': 0.5, 'e': 0.95}",20,0,-109.1301043617609,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
220,False,"{'a': 0.5, 'e': 0.95}",20,0,-132.67968942806667,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
221,False,"{'a': 0.5, 'e': 0.95}",20,0,-45.92759563872186,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
222,False,"{'a': 0.5, 'e': 0.95}",25,0,-120.01078766737561,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
223,False,"{'a': 0.5, 'e': 0.95}",25,0,-129.69842490593354,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
224,False,"{'a': 0.5, 'e': 0.95}",30,17,-84.25418272916009,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 2}",1
225,False,"{'a': 0.5, 'e': 0.95}",30,0,-96.69761287089696,"{0: 20, 1: 3, 2: 5, 3: 1, 4: 1}",0
226,False,"{'a': 0.5, 'e': 0.95}",20,8,-71.08157590638176,"{0: 6, 1: 0, 2: 4, 3: 2, 4: 0}",1
227,False,"{'a': 0.5, 'e': 0.95}",25,0,-159.71820969265173,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
228,False,"{'a': 0.5, 'e': 0.95}",25,0,-83.37389122443375,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
229,False,"{'a': 0.5, 'e': 0.95}",20,0,-31.064999160322213,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
230,False,"{'a': 0.5, 'e': 0.95}",20,0,-7.986695622982316,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
231,False,"{'a': 0.5, 'e': 0.95}",20,0,-114.5065118530382,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
232,False,"{'a': 0.5, 'e': 0.95}",25,0,-145.4475790607066,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
233,False,"{'a': 0.5, 'e': 0.95}",20,0,-145.39446585670987,"{0: 12, 1: 2, 2: 1, 3: 3, 4: 2}",0
234,False,"{'a': 0.5, 'e': 0.95}",25,0,-73.9048531010933,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
235,False,"{'a': 0.5, 'e': 0.95}",20,0,-27.24167603555283,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
236,False,"{'a': 0.5, 'e': 0.95}",25,0,-46.27161369297634,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
237,False,"{'a': 0.5, 'e': 0.95}",20,0,-64.33726532246449,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
238,False,"{'a': 0.5, 'e': 0.95}",30,0,-81.25005041090945,"{0: 19, 1: 7, 2: 3, 3: 0, 4: 1}",0
239,False,"{'a': 0.5, 'e': 0.95}",20,0,-79.61529339781153,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
240,False,"{'a': 0.5, 'e': 0.95}",25,0,-121.15636119284055,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
241,False,"{'a': 0.5, 'e': 0.95}",20,0,-158.22131045031662,"{0: 9, 1: 2, 2: 4, 3: 4, 4: 1}",0
242,False,"{'a': 0.5, 'e': 0.95}",25,0,-83.80144345564433,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
243,False,"{'a': 0.5, 'e': 0.95}",25,0,-65.74469402371427,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
244,False,"{'a': 0.5, 'e': 0.95}",25,0,-118.10768068122705,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
245,False,"{'a': 0.5, 'e': 0.95}",25,0,-71.53555927391541,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 1}",0
246,False,"{'a': 0.5, 'e': 0.95}",20,0,-53.848080861887,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
247,False,"{'a': 0.5, 'e': 0.95}",20,0,-157.48544563199283,"{0: 9, 1: 4, 2: 3, 3: 2, 4: 2}",0
248,False,"{'a': 0.5, 'e': 0.95}",25,0,-48.62561285843248,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
249,False,"{'a': 0.5, 'e': 0.95}",20,0,-51.43589534985109,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
250,False,"{'a': 0.5, 'e': 0.95}",25,0,-50.04529222337624,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
251,False,"{'a': 0.5, 'e': 0.95}",25,0,-125.57597472816157,"{0: 17, 1: 2, 2: 2, 3: 2, 4: 2}",0
252,False,"{'a': 0.5, 'e': 0.95}",30,0,-146.46940927813785,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
253,False,"{'a': 0.5, 'e': 0.95}",20,0,-69.75110226458995,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
254,False,"{'a': 0.5, 'e': 0.95}",20,0,-85.86734007881886,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
255,False,"{'a': 0.5, 'e': 0.95}",25,0,-136.01736915968502,"{0: 15, 1: 0, 2: 6, 3: 3, 4: 1}",0
256,False,"{'a': 0.5, 'e': 0.95}",20,0,-105.55015716417321,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
257,False,"{'a': 0.5, 'e': 0.95}",25,0,-121.18346730229742,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
258,False,"{'a': 0.5, 'e': 0.95}",20,0,-77.0416829595156,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
259,False,"{'a': 0.5, 'e': 0.95}",30,0,-186.03317207697052,"{0: 17, 1: 0, 2: 8, 3: 4, 4: 1}",0
260,False,"{'a': 0.5, 'e': 0.95}",35,0,-149.84720510631288,"{0: 23, 1: 5, 2: 3, 3: 2, 4: 2}",0
261,False,"{'a': 0.5, 'e': 0.95}",30,12,-107.90813893344271,"{0: 7, 1: 4, 2: 6, 3: 0, 4: 1}",1
262,False,"{'a': 0.5, 'e': 0.95}",20,0,-12.672346381594956,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
263,False,"{'a': 0.5, 'e': 0.95}",25,0,-87.46174868058891,"{0: 16, 1: 2, 2: 4, 3: 3, 4: 0}",0
264,False,"{'a': 0.5, 'e': 0.95}",35,4,-89.52543535292106,"{0: 23, 1: 1, 2: 5, 3: 1, 4: 1}",1
265,False,"{'a': 0.5, 'e': 0.95}",25,0,-223.0585937039836,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 4}",0
266,False,"{'a': 0.5, 'e': 0.95}",25,0,-55.66953323270958,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
267,False,"{'a': 0.5, 'e': 0.95}",20,9,-51.10463480600242,"{0: 6, 1: 2, 2: 1, 3: 2, 4: 0}",1
268,False,"{'a': 0.5, 'e': 0.95}",25,0,-59.8473577954295,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
269,False,"{'a': 0.5, 'e': 0.95}",35,13,-84.06228383250219,"{0: 12, 1: 2, 2: 7, 3: 1, 4: 0}",1
270,False,"{'a': 0.5, 'e': 0.95}",25,0,-47.23618770598338,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
271,False,"{'a': 0.5, 'e': 0.95}",20,0,-82.81244041606442,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
272,False,"{'a': 0.5, 'e': 0.95}",35,0,-99.40021442637278,"{0: 24, 1: 1, 2: 8, 3: 2, 4: 0}",0
273,False,"{'a': 0.5, 'e': 0.95}",20,0,-158.18669315017797,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
274,False,"{'a': 0.5, 'e': 0.95}",25,2,-81.34187030755746,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 0}",1
275,False,"{'a': 0.5, 'e': 0.95}",20,0,-80.16082262574325,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
276,False,"{'a': 0.5, 'e': 0.95}",20,0,-26.604104857576253,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
277,False,"{'a': 0.5, 'e': 0.95}",20,0,-148.0840808759794,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
278,False,"{'a': 0.5, 'e': 0.95}",25,7,-125.18552788200185,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 2}",1
279,False,"{'a': 0.5, 'e': 0.95}",20,0,-127.20667785355133,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
280,False,"{'a': 0.5, 'e': 0.95}",35,0,-158.20070473168585,"{0: 20, 1: 6, 2: 5, 3: 3, 4: 1}",0
281,False,"{'a': 0.5, 'e': 0.95}",20,3,-52.0958383231819,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
282,False,"{'a': 0.5, 'e': 0.95}",30,0,-153.83402743895297,"{0: 19, 1: 4, 2: 4, 3: 0, 4: 3}",0
283,False,"{'a': 0.5, 'e': 0.95}",25,0,-160.15458673188994,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
284,False,"{'a': 0.5, 'e': 0.95}",20,0,-100.45554539235212,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
285,False,"{'a': 0.5, 'e': 0.95}",20,0,-120.85442093649449,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
286,False,"{'a': 0.5, 'e': 0.95}",30,0,-121.25731250737245,"{0: 15, 1: 6, 2: 7, 3: 2, 4: 0}",0
287,False,"{'a': 0.5, 'e': 0.95}",20,0,-99.28880543507557,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
288,False,"{'a': 0.5, 'e': 0.95}",20,0,-90.90255327365503,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
289,False,"{'a': 0.5, 'e': 0.95}",20,0,-124.28959023545102,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
290,False,"{'a': 0.5, 'e': 0.95}",20,0,-205.09832075990658,"{0: 10, 1: 0, 2: 6, 3: 0, 4: 4}",0
291,False,"{'a': 0.5, 'e': 0.95}",35,0,-84.62728441199934,"{0: 30, 1: 0, 2: 2, 3: 1, 4: 2}",0
292,False,"{'a': 0.5, 'e': 0.95}",20,0,-43.463963026211566,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
293,False,"{'a': 0.5, 'e': 0.95}",20,0,-112.50044111304469,"{0: 9, 1: 6, 2: 3, 3: 1, 4: 1}",0
294,False,"{'a': 0.5, 'e': 0.95}",25,0,-164.82477281420296,"{0: 15, 1: 1, 2: 4, 3: 3, 4: 2}",0
295,False,"{'a': 0.5, 'e': 0.95}",20,0,-127.00023582984927,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
296,False,"{'a': 0.5, 'e': 0.95}",25,0,-79.855729706647,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
297,False,"{'a': 0.5, 'e': 0.95}",25,0,-100.01919220615733,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 1}",0
298,False,"{'a': 0.5, 'e': 0.95}",20,0,-97.27505519034875,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
299,False,"{'a': 0.5, 'e': 0.95}",20,14,0.913742426544965,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
300,False,"{'a': 0.5, 'e': 0.95}",20,0,-143.96884867428747,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
301,False,"{'a': 0.5, 'e': 0.95}",30,0,-120.90795726724345,"{0: 18, 1: 2, 2: 7, 3: 3, 4: 0}",0
302,False,"{'a': 0.5, 'e': 0.95}",25,0,-57.447216831395515,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
303,False,"{'a': 0.5, 'e': 0.95}",20,0,-85.58487652115292,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
304,False,"{'a': 0.5, 'e': 0.95}",20,2,-120.35896792014877,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 1}",1
305,False,"{'a': 0.5, 'e': 0.95}",20,0,-14.70384011085645,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
306,False,"{'a': 0.5, 'e': 0.95}",25,0,-75.92280046167643,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
307,False,"{'a': 0.5, 'e': 0.95}",20,0,-53.18366574504538,"{0: 13, 1: 4, 2: 1, 3: 2, 4: 0}",0
308,False,"{'a': 0.5, 'e': 0.95}",25,0,-117.14932261618185,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
309,False,"{'a': 0.5, 'e': 0.95}",20,2,-52.97756446095172,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 0}",1
310,False,"{'a': 0.5, 'e': 0.95}",20,0,-84.24103261275663,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
311,False,"{'a': 0.5, 'e': 0.95}",20,0,-178.13807822547562,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
312,False,"{'a': 0.5, 'e': 0.95}",25,0,-95.41456177683133,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
313,False,"{'a': 0.5, 'e': 0.95}",25,0,-129.14685727012764,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
314,False,"{'a': 0.5, 'e': 0.95}",30,12,-55.31622697236064,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 1}",1
315,False,"{'a': 0.5, 'e': 0.95}",25,0,-157.72025928464896,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
316,False,"{'a': 0.5, 'e': 0.95}",20,0,-56.76324045439007,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
317,False,"{'a': 0.5, 'e': 0.95}",20,0,-88.45773663846411,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
318,False,"{'a': 0.5, 'e': 0.95}",20,0,-60.996290620354266,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
319,False,"{'a': 0.5, 'e': 0.95}",30,0,-174.50486337701656,"{0: 14, 1: 1, 2: 13, 3: 1, 4: 1}",0
320,False,"{'a': 0.5, 'e': 0.95}",30,0,-149.14185579146826,"{0: 18, 1: 5, 2: 3, 3: 2, 4: 2}",0
321,False,"{'a': 0.5, 'e': 0.95}",30,0,-319.8823566907872,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 6}",0
322,False,"{'a': 0.5, 'e': 0.95}",20,0,-120.14743135322207,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
323,False,"{'a': 0.5, 'e': 0.95}",25,0,-83.63572730237037,"{0: 19, 1: 0, 2: 3, 3: 2, 4: 1}",0
324,False,"{'a': 0.5, 'e': 0.95}",25,0,-176.8808942950137,"{0: 11, 1: 1, 2: 11, 3: 0, 4: 2}",0
325,False,"{'a': 0.5, 'e': 0.95}",25,0,-174.7263789699427,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
326,False,"{'a': 0.5, 'e': 0.95}",30,0,-126.28308682041632,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
327,False,"{'a': 0.5, 'e': 0.95}",25,0,-126.7049300081134,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
328,False,"{'a': 0.5, 'e': 0.95}",25,0,-97.28875006336207,"{0: 16, 1: 5, 2: 1, 3: 2, 4: 1}",0
329,False,"{'a': 0.5, 'e': 0.95}",20,0,-101.5951714030464,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
330,False,"{'a': 0.5, 'e': 0.95}",20,0,-133.82091146180892,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
331,False,"{'a': 0.5, 'e': 0.95}",25,0,-117.23615742201336,"{0: 12, 1: 6, 2: 6, 3: 0, 4: 1}",0
332,False,"{'a': 0.5, 'e': 0.95}",20,0,-121.71878294025996,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
333,False,"{'a': 0.5, 'e': 0.95}",20,0,-90.71216832596112,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
334,False,"{'a': 0.5, 'e': 0.95}",25,0,-184.57481803836106,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 3}",0
335,False,"{'a': 0.5, 'e': 0.95}",25,0,-97.71667379715336,"{0: 15, 1: 3, 2: 4, 3: 3, 4: 0}",0
336,False,"{'a': 0.5, 'e': 0.95}",25,1,-73.61443755309689,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 1}",1
337,False,"{'a': 0.5, 'e': 0.95}",35,0,-266.12296331980946,"{0: 16, 1: 5, 2: 9, 3: 2, 4: 3}",0
338,False,"{'a': 0.5, 'e': 0.95}",30,0,-88.99164088708092,"{0: 20, 1: 3, 2: 5, 3: 2, 4: 0}",0
339,False,"{'a': 0.5, 'e': 0.95}",30,0,-212.42483901029814,"{0: 16, 1: 3, 2: 7, 3: 1, 4: 3}",0
340,False,"{'a': 0.5, 'e': 0.95}",20,0,-79.00176591727852,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
341,False,"{'a': 0.5, 'e': 0.95}",25,0,-135.08929899078888,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
342,False,"{'a': 0.5, 'e': 0.95}",20,0,-120.63280427403478,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
343,False,"{'a': 0.5, 'e': 0.95}",25,0,-174.87012273209913,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
344,False,"{'a': 0.5, 'e': 0.95}",25,0,-110.21444136569423,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
345,False,"{'a': 0.5, 'e': 0.95}",25,0,-134.98927928143712,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",0
346,False,"{'a': 0.5, 'e': 0.95}",20,0,-74.80341804852992,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 0}",0
347,False,"{'a': 0.5, 'e': 0.95}",25,0,-79.62016989382919,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
348,False,"{'a': 0.5, 'e': 0.95}",20,0,-47.83368335309541,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
349,False,"{'a': 0.5, 'e': 0.95}",20,0,-115.6433686243193,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
350,False,"{'a': 0.5, 'e': 0.95}",20,0,-115.47241987901184,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
351,False,"{'a': 0.5, 'e': 0.95}",25,6,-47.13664918431078,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 1}",1
352,False,"{'a': 0.5, 'e': 0.95}",30,0,-72.55706169120708,"{0: 21, 1: 4, 2: 4, 3: 0, 4: 1}",0
353,False,"{'a': 0.5, 'e': 0.95}",20,0,-199.48533008718357,"{0: 9, 1: 1, 2: 5, 3: 2, 4: 3}",0
354,False,"{'a': 0.5, 'e': 0.95}",20,0,-97.95307729624957,"{0: 12, 1: 4, 2: 1, 3: 2, 4: 1}",0
355,False,"{'a': 0.5, 'e': 0.95}",30,0,-193.03415686282761,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
356,False,"{'a': 0.5, 'e': 0.95}",20,0,-74.87272119866606,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
357,False,"{'a': 0.5, 'e': 0.95}",20,0,-132.37613674661242,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
358,False,"{'a': 0.5, 'e': 0.95}",30,0,-235.30758420070487,"{0: 14, 1: 4, 2: 6, 3: 3, 4: 3}",0
359,False,"{'a': 0.5, 'e': 0.95}",35,0,-260.5615253237493,"{0: 19, 1: 4, 2: 6, 3: 2, 4: 4}",0
360,False,"{'a': 0.5, 'e': 0.95}",30,23,-1.7279151670184905,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
361,False,"{'a': 0.5, 'e': 0.95}",25,0,-151.5246650167622,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 3}",0
362,False,"{'a': 0.5, 'e': 0.95}",30,0,-84.18769508536802,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
363,False,"{'a': 0.5, 'e': 0.95}",20,0,-124.6023701898148,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
364,False,"{'a': 0.5, 'e': 0.95}",20,10,-26.188151210798708,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
365,False,"{'a': 0.5, 'e': 0.95}",20,0,-0.9944976591801487,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
366,False,"{'a': 0.5, 'e': 0.95}",20,0,-150.78076396961453,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
367,False,"{'a': 0.5, 'e': 0.95}",25,0,-141.56813790810028,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
368,False,"{'a': 0.5, 'e': 0.95}",25,0,-82.64776820806188,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
369,False,"{'a': 0.5, 'e': 0.95}",20,0,-134.39810800429612,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
370,False,"{'a': 0.5, 'e': 0.95}",20,0,-109.80891548633046,"{0: 9, 1: 0, 2: 10, 3: 1, 4: 0}",0
371,False,"{'a': 0.5, 'e': 0.95}",20,0,-32.94914875917559,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
372,False,"{'a': 0.5, 'e': 0.95}",20,2,-28.934669348132275,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 0}",1
373,False,"{'a': 0.5, 'e': 0.95}",25,0,-54.37237746162775,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
374,False,"{'a': 0.5, 'e': 0.95}",35,0,-185.91644252956846,"{0: 21, 1: 5, 2: 5, 3: 1, 4: 3}",0
375,False,"{'a': 0.5, 'e': 0.95}",20,0,-103.2025486370072,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
376,False,"{'a': 0.5, 'e': 0.95}",30,14,-28.54113030502647,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
377,False,"{'a': 0.5, 'e': 0.95}",25,0,-32.99419452403249,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
378,False,"{'a': 0.5, 'e': 0.95}",25,0,-129.27665847636572,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
379,False,"{'a': 0.5, 'e': 0.95}",30,0,-54.17129417711528,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
380,False,"{'a': 0.5, 'e': 0.95}",20,0,-75.55399374216034,"{0: 14, 1: 3, 2: 0, 3: 2, 4: 1}",0
381,False,"{'a': 0.5, 'e': 0.95}",30,0,-47.57158412390527,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
382,False,"{'a': 0.5, 'e': 0.95}",25,0,-174.89036241288392,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
383,False,"{'a': 0.5, 'e': 0.95}",25,0,-170.84297779879128,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
384,False,"{'a': 0.5, 'e': 0.95}",20,0,-60.986955813483256,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
385,False,"{'a': 0.5, 'e': 0.95}",20,0,-97.0515297268489,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
